Čas,Vek,Pohlavie,Hodiny tyždenne,Ste z bilgymu?,Ročník,"Aku ""competitive"" hru hráš (zatiaľ 1 potom sa dá vrátiť)",Hrate ešte ďalšiu hru?,Aký je váš počet hodín v tejto hre? (stači približne),"Aký je váš ""peak"" rank v solo/duo?",Aký je váš počet hodín v tejto hre?(stači približne),"Aký je váš ""peak"" rank?",Aký je váš počet hodín v tejto hre?(stači približne) 2,"Aký je váš ""peak"" rank? 2",Aký je váš počet hodín v tejto hre?(stači približne) 3,"Aký je váš ""peak"" rank? 3",Aký je váš počet hodín v tejto hre?(stači približne) 4,"Aký je váš ""peak"" rank? 4",Aký je váš počet hodín v tejto hre?(stači približne) 5,Aký je váš počet hodín v tejto hre?(stači približne) 6,"Aký je váš ""peak"" rank? 5",Aký je váš počet hodín v tejto hre?(stači približne) 7,"Aký je váš ""peak"" rank? 6",Aký je váš počet hodín v tejto hre?(stači približne) 8,"Aký je váš ""peak"" rank? 7",Aký je váš počet hodín v tejto hre?(stači približne) 9,"Aký je váš ""peak"" rank? 8",Aký je váš počet hodín v tejto hre?(stači približne) 10,"Aký je váš ""peak"" rank? 9",Aký je váš počet hodín v tejto hre?(stači približne) 11,"Aký je váš ""peak"" rank? 10",Aký je váš počet hodín v tejto hre?(stači približne) 12,Rank,Ak máte ešte niečo čo by ste mi chceli upresniť:
3/10/2026 16:25:05,0-15,Muž,12-15,Ano,1,Fortnite,Nie,,,,,,,,,,,,,,,,,,1200,champion+,,,500,diamond,,,Som goat
3/10/2026 16:25:12,15-20,Žena,1-3,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 16:57:40,15-20,Muž,6-9,Ano,3,Rainbow 6 siege,Nie,200,silver,,,,,,,800,platinum,,,,,,,,900,diamond,,,150,silver,,,
3/10/2026 17:16:25,15-20,Žena,3-6,Ano,1,Fortnite,Nie,,,,,,,,,,,,,,,,,,"1,5",gold,,,,,,,
3/10/2026 17:18:16,25-35,Žena,0,Ano,Učiteľka ,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 17:19:09,15-20,Muž,6-9,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 17:19:27,15-20,Non-binary,3-6,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,Ja hrám zvyčajne RPG alebo puzzle hry
3/10/2026 17:38:02,15-20,Žena,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 18:10:47,0-15,Žena,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 18:48:07,15-20,Muž,3-6,Ano,2,Rust,Nie,300,platinum,369.8,legendary eagle -  global elite,,,,,120-180,gold,,,,,,,,,,,,,,50/60,gold,
3/10/2026 18:53:27,15-20,Žena,3-6,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,"nehravam competitive, hravam len singleplayer klasiky a hlavne na ps, napr moje najoblubenejsie su tlou, uncharted a rdr2"
3/10/2026 19:58:08,15-20,Muž,3-6,Ano,3,,Nie,,,,,,,,,,,,,,,,cca 300 (prilis vela),gold,,,,,,,,,"teraz uz tolko nehravam, ale na zakladke som velmi drtil (asi trosku prilis). Niekedy mam pocit, ze mi to uberalo pozornost z toho, na com skutocne zalezi."
3/10/2026 20:03:33,0-15,Muž,18-21,Ano,1,Rocket League,Nie,,,,,96,diamond,,,,,,,,,,,,,,,,,,,,
3/10/2026 20:19:19,15-20,Žena,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 20:32:10,0-15,Muž,1-3,Ano,1,Star Wars Battlefront 2,Nie,,,,,,,200,Lv. 600 Obi-Wan Kenobi,,,,,,,,,,,,,,,,,,
3/10/2026 21:16:13,15-20,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 21:43:56,0-15,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 22:06:47,15-20,Žena,1-3,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,vacsinou hram sandbox games 
3/10/2026 22:15:35,15-20,Muž,24+,Ano,2,Counter strike 2,Nie,,,Teraz som len začal hrať takže 40 h,unranked,,,,,,,,,,,,,,,,,,,,,,"Counterstrike hravam len pre zabavu, normalne hrajem competitive minecraft pvp "
3/10/2026 22:18:25,25-35,Muž,1-3,Ano,učiteľ,Pokemon Showdown,Nie,+3000h,emerald,,,,,100h-200h,1900 elo,,,,,,,,,,,,,,,,,,Nie
3/11/2026 0:11:43,15-20,Žena,9-12,Ano,3,League of legends,Nie,67,unranked,200,unranked,,,,,100,unranked,,,,,,,,,,,,,,,,"Nehrávam ranked 🥀 too much pressure, i play for fun"
3/11/2026 1:54:01,0-15,Muž,24+,Ano,1,DayZ,Nie,,,300,gold nova 1-gold nova master,,,600,-,,,,,,,,,,,,,,,,,,
3/11/2026 7:03:28,15-20,Muž,3-6,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 7:58:11,15-20,Muž,6-9,Ano,2,Fortnite,Nie,,,,,,,,,,,,,,,,,,10,elite,,,,,,,
3/11/2026 8:20:36,15-20,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,Nehrával vôbec počítačové hry takže…
3/11/2026 9:03:03,0-15,Žena,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 9:44:07,15-20,Muž,3-6,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 10:14:58,35+,Muž,6-9,Ano,učiteľ,Age of Empires II,Nie,,,,,,,1500,1400 MMR,,,,,,,,,,,,4000,archon,,,,,
3/11/2026 10:38:15,15-20,Muž,21-24,Nie,,Overwatch,Nie,,,,,,,,,,,,,,,,450,diamond,,,,,,,,,
3/11/2026 10:58:37,15-20,Muž,18-21,Ano,1,Fortnite,Nie,,,100,gold nova 1-gold nova master,,,,,500,gold,,,,,,,,720,diamond,,,100,unranked,,,
3/11/2026 11:21:49,0-15,Muž,12-15,Ano,1,Rainbow 6 siege,Nie,,,,,,,,,,,,,,,,,,,,,,500,diamond,,,
3/11/2026 11:27:24,15-20,Muž,9-12,Ano,1,Clash of Clans,Nie,,,,,,,400,Witch 18,,,,,,,,,,,,,,,,,,th14
3/11/2026 12:12:50,0-15,Žena,6-9,Ano,1,Star Stable Online,Nie,,,,,,,6,Mam lvl 11.,,,,,,,,,,,,,,,,,,Hram necompetitive hry
3/11/2026 12:38:25,0-15,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 14:21:44,15-20,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 14:52:09,0-15,Muž,6-9,Ano,1,Apex Legends,Nie,,,,,,,,,,,,,,300,platinum,,,,,,,,,,,
3/11/2026 16:43:51,15-20,Muž,1-3,Ano,3,Metal storm,Nie,,,,,,,"0,5",neviem,,,,,,,,,,,,,,,,,,
3/11/2026 17:18:13,15-20,Muž,0,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 18:12:00,20-25,Muž,12-15,Nie,,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 18:31:55,15-20,Muž,24+,Ano,3,Overwatch,Nie,250,unranked,,,,,,,,,,,,300,unranked,200,unranked,,,,,1000,diamond,,,
3/11/2026 20:07:30,0-15,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2026 21:15:25,15-20,Žena,1-3,Ano,1,Fortnite,Nie,,,,,,,,,,,,,,,,,,okolo 400,unranked,,,,,,,
3/12/2026 8:21:55,0-15,Muž,9-12,Ano,1,Rocket League,Nie,,,,,150+,platinum,150+,nema,,,,,,,,350,diamond,,,,,,,,,neviem
3/12/2026 14:23:39,15-20,Žena,0,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2026 14:29:42,15-20,Muž,6-9,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2026 22:06:34,15-20,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,D
